Old ID,New ID,Date,Year,Month,Common Name,Species,Latitude,Longitude,Island_Atoll,Binary_Location,PCL (cm),FL (cm),TL (cm),Sex,d13C,d15N,C:N
54,,22/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,125,138.2,154,F,-12.1918055,14.4426179,3.078505065
60,,23/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,118,131,149,F,-13.04251732,13.91910172,3.22403164
61,,23/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,116,129,149,F,-13.47378096,14.58700034,3.198394937
62,,23/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,130,143.4,176.5,M,-13.05925587,12.7588486,2.813866013
63,,23/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,109,122,141,F,-15.00781918,14.63478158,3.225077057
64,,23/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,86,96.5,115,F,-14.50566289,13.73213166,2.940558142
67,,23/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,85,95,116.5,F,-15.99736244,14.61400713,3.219616828
68,,23/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,55,58,68.5,F,-12.02343545,13.86508815,2.691143364
69,,23/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,110,123.5,143,F,-14.73409477,14.562071,3.276145849
70,,23/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,113,125,149.5,F,-12.96276309,13.41012766,2.873599394
,,,,,,,,,,,,,,,,,
